Date,Name,Year,Letterboxd URI
2025-02-20,Parasite,2019,https://boxd.it/hTha
2025-02-20,Interstellar,2014,https://boxd.it/4VZ8
2025-02-20,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2025-02-20,Get Out,2017,https://boxd.it/eOCm
2025-02-20,The Truman Show,1998,https://boxd.it/18U8
2025-02-20,The Dark Knight,2008,https://boxd.it/2b0k
2025-02-20,Spirited Away,2001,https://boxd.it/2b4m
2025-03-19,The Gentlemen,2019,https://boxd.it/iYBQ
2025-03-19,The Bat,1959,https://boxd.it/1bSE
2025-04-01,Mrs. Doubtfire,1993,https://boxd.it/29Cw
