Date,Name,Year,Letterboxd URI,Rating
2025-02-24,The Monkey,2025,https://boxd.it/Gwiu,3
2025-02-24,Conclave,2024,https://boxd.it/AO8q,3.5
2025-02-24,The Gorge,2025,https://boxd.it/zRqK,3
2025-03-05,The Truman Show,1998,https://boxd.it/18U8,4
2025-03-05,Spirited Away,2001,https://boxd.it/2b4m,5
2025-03-05,Interstellar,2014,https://boxd.it/4VZ8,4.5
2025-03-05,Get Out,2017,https://boxd.it/eOCm,4.5
2025-03-05,Baby Driver,2017,https://boxd.it/bhF2,4
2025-03-05,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2025-03-05,Parasite,2019,https://boxd.it/hTha,5
2025-03-12,The Gentlemen,2019,https://boxd.it/iYBQ,4
